Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.TP,QUERY.FP,QUERY.UNK,FP.gt,FP.al,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.TP.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP.het_hom_ratio,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,PASS,*,QUAL,192.000000,0.61126,0.701578,0.412314,0.653312,371871,227310,144561,528035,217713,92606,217716,888,87143,.,1.519032,.,1.843329,.,1.356276,.,2.43887,.,.,1.626897,1.469976,.,1.527447
INDEL,*,*,PASS,*,QUAL,193.000000,0.610368,0.702201,0.411301,0.653072,371871,226978,144893,525822,217367,92184,216271,886,86740,.,1.519032,.,1.847608,.,1.35393,.,2.4307,.,.,1.621369,1.467266,.,1.519946
INDEL,*,*,PASS,*,QUAL,194.000000,0.609424,0.703246,0.409314,0.652982,371871,226627,145244,522316,216969,91556,213791,885,86134,.,1.519032,.,1.851861,.,1.351624,.,2.418085,.,.,1.612013,1.464007,.,1.505495
INDEL,*,*,PASS,*,QUAL,195.000000,0.607719,0.704691,0.405997,0.652622,371871,225993,145878,516183,216068,90546,209569,883,85178,.,1.519032,.,1.855353,.,1.34962,.,2.390746,.,.,1.593268,1.456711,.,1.47754
INDEL,*,*,PASS,*,QUAL,196.000000,0.599165,0.711952,0.399519,0.650707,371871,222812,149059,493741,211081,85401,197259,875,80211,.,1.519032,.,1.859822,.,1.347135,.,2.216386,.,.,1.512486,1.417976,.,1.382773
INDEL,*,*,PASS,*,QUAL,197.000000,0.582382,0.724356,0.395817,0.645656,371871,216571,155300,460768,201652,76736,182380,872,71884,.,1.519032,.,1.864501,.,1.344446,.,1.906475,.,.,1.393634,1.353996,.,1.267918
INDEL,*,*,PASS,*,QUAL,198.000000,0.581551,0.724635,0.39531,0.645256,371871,216262,155609,459515,201350,76514,181651,869,71669,.,1.519032,.,1.868065,.,1.342371,.,1.905067,.,.,1.39267,1.351812,.,1.268287
INDEL,*,*,PASS,*,QUAL,199.000000,0.580739,0.724957,0.394918,0.644883,371871,215960,155911,458336,201053,76278,181005,868,71448,.,1.519032,.,1.871739,.,1.340256,.,1.902524,.,.,1.391175,1.349507,.,1.267937
INDEL,*,*,PASS,*,QUAL,200.000000,0.579844,0.725208,0.394504,0.64443,371871,215627,156244,457126,200729,76059,180338,864,71240,.,1.519032,.,1.875577,.,1.338006,.,1.899433,.,.,1.38966,1.347163,.,1.267679
INDEL,*,*,PASS,*,QUAL,201.000000,0.578986,0.725456,0.394151,0.643998,371871,215308,156563,455962,200403,75841,179718,862,71035,.,1.519032,.,1.879067,.,1.33592,.,1.897224,.,.,1.38817,1.344925,.,1.267163
INDEL,*,*,PASS,*,QUAL,202.000000,0.578096,0.725687,0.393854,0.643538,371871,214977,156894,454841,200072,75628,179141,860,70833,.,1.519032,.,1.882763,.,1.333723,.,1.895533,.,.,1.386289,1.34256,.,1.265772
INDEL,*,*,PASS,*,QUAL,203.000000,0.577318,0.725917,0.393368,0.643146,371871,214688,157183,453631,199763,75424,178444,859,70643,.,1.519032,.,1.886067,.,1.331767,.,1.893807,.,.,1.385172,1.340257,.,1.265994
INDEL,*,*,PASS,*,QUAL,204.000000,0.576358,0.726182,0.39304,0.642653,371871,214331,157540,452415,199408,75190,177817,857,70420,.,1.519032,.,1.890282,.,1.329292,.,1.891216,.,.,1.38339,1.337647,.,1.265334
INDEL,*,*,PASS,*,QUAL,205.000000,0.575226,0.726398,0.392709,0.642034,371871,213910,157961,451100,198996,74953,177151,855,70196,.,1.519032,.,1.894599,.,1.326626,.,1.888721,.,.,1.381442,1.334843,.,1.264446
INDEL,*,*,PASS,*,QUAL,206.000000,0.574242,0.726578,0.392286,0.64149,371871,213544,158327,449861,198637,74750,176474,855,69998,.,1.519032,.,1.898616,.,1.324191,.,1.887009,.,.,1.380136,1.332437,.,1.264356
INDEL,*,*,PASS,*,QUAL,207.000000,0.573298,0.726731,0.391905,0.64096,371871,213193,158678,448670,198277,74557,175836,854,69814,.,1.519032,.,1.902348,.,1.321888,.,1.884745,.,.,1.378254,1.329973,.,1.263145
INDEL,*,*,PASS,*,QUAL,208.000000,0.572255,0.72696,0.391447,0.640397,371871,212805,159066,447330,197896,74328,175106,850,69596,.,1.519032,.,1.90681,.,1.319212,.,1.882415,.,.,1.376771,1.327191,.,1.263239
INDEL,*,*,PASS,*,QUAL,209.000000,0.571298,0.727198,0.391071,0.639889,371871,212449,159422,446126,197550,74109,174467,849,69385,.,1.519032,.,1.909885,.,1.31716,.,1.879798,.,.,1.375064,1.32479,.,1.262519
INDEL,*,*,PASS,*,QUAL,210.000000,0.570278,0.727438,0.390733,0.639342,371871,212070,159801,444892,197178,73880,173834,848,69168,.,1.519032,.,1.914322,.,1.314493,.,1.877637,.,.,1.373022,1.321958,.,1.261397
INDEL,*,*,PASS,*,QUAL,211.000000,0.569152,0.727569,0.390351,0.638684,371871,211651,160220,443616,196771,73679,173166,846,68976,.,1.519032,.,1.918503,.,1.311837,.,1.875549,.,.,1.37189,1.319291,.,1.26211
INDEL,*,*,PASS,*,QUAL,212.000000,0.568114,0.727757,0.390033,0.638102,371871,211265,160606,442414,196391,73467,172556,844,68768,.,1.519032,.,1.921912,.,1.309558,.,1.873099,.,.,1.370174,1.316833,.,1.261399
INDEL,*,*,PASS,*,QUAL,213.000000,0.567033,0.727889,0.389767,0.63747,371871,210863,161008,441261,196000,73272,171989,843,68586,.,1.519032,.,1.926017,.,1.306953,.,1.870286,.,.,1.368316,1.31419,.,1.260649
INDEL,*,*,PASS,*,QUAL,214.000000,0.565868,0.728003,0.389394,0.636777,371871,210430,161441,439943,195565,73067,171311,841,68392,.,1.519032,.,1.928769,.,1.304819,.,1.867974,.,.,1.367042,1.31185,.,1.260751
INDEL,*,*,PASS,*,QUAL,215.000000,0.564712,0.72811,0.389027,0.636085,371871,210000,161871,438605,195116,72860,170629,839,68198,.,1.519032,.,1.932966,.,1.30209,.,1.865499,.,.,1.365079,1.308835,.,1.260023
